EmpID,Department,Experience,Salary,Performance,Bonus
1003,Finance,16,107149,4,10714.900000000001
1006,HR,13,106125,5,10612.5
1008,Finance,19,115655,5,11565.5
1012,Finance,29,130894,4,13089.400000000001
1015,Marketing,12,106323,4,10632.300000000001
1020,Marketing,20,109579,4,10957.900000000001
1023,Marketing,15,137141,5,13714.1
1027,Finance,3,142613,4,14261.300000000001
1036,Sales,16,118236,4,11823.6
1049,HR,29,134537,5,13453.7
1064,HR,13,112180,4,11218.0
1069,Marketing,27,146748,5,14674.800000000001
1079,Marketing,13,123070,4,12307.0
1081,Sales,22,127829,5,12782.900000000001
1087,IT,4,113524,4,11352.400000000001
1098,HR,26,103698,5,10369.800000000001
1120,HR,25,114056,4,11405.6
1123,Sales,25,105046,5,10504.6
1125,IT,1,123709,5,12370.900000000001
1128,Marketing,6,103340,5,10334.0
1130,Sales,12,101520,4,10152.0
1153,IT,1,126809,5,12680.900000000001
1157,Marketing,3,101324,5,10132.400000000001
1173,HR,28,133677,5,13367.7
1178,IT,28,132916,5,13291.6
1186,Marketing,22,101907,5,10190.7
1198,IT,3,144074,5,14407.400000000001
1203,IT,5,129097,4,12909.7
1206,Finance,2,107834,5,10783.400000000001
1215,Finance,24,106077,5,10607.7
1216,Finance,1,120474,5,12047.400000000001
1219,IT,18,105916,4,10591.6
1220,IT,15,103319,5,10331.900000000001
1226,IT,22,129131,4,12913.1
1232,IT,2,141939,4,14193.900000000001
1236,HR,21,134263,5,13426.300000000001
1240,Sales,28,137099,4,13709.900000000001
1242,IT,5,139945,5,13994.5
1245,Finance,3,116066,5,11606.6
1246,Finance,21,135500,4,13550.0
1253,Marketing,19,106589,5,10658.900000000001
1261,HR,13,131376,5,13137.6
1271,Finance,7,105060,5,10506.0
1277,Sales,3,127945,4,12794.5
1292,IT,23,141530,5,14153.0
1295,Marketing,21,109026,5,10902.6
1311,IT,19,133892,5,13389.2
1313,HR,20,145654,4,14565.400000000001
1314,IT,25,100480,4,10048.0
1329,HR,24,122374,4,12237.400000000001
1334,Sales,20,123501,4,12350.1
1344,Marketing,11,119106,5,11910.6
1366,Sales,18,133177,4,13317.7
1374,Finance,28,115382,4,11538.2
1376,Finance,29,139575,5,13957.5
1391,IT,27,102258,4,10225.800000000001
1394,IT,25,115595,4,11559.5
1395,Sales,15,131358,5,13135.800000000001
1396,Sales,25,109111,4,10911.1
1402,Sales,16,105039,4,10503.900000000001
1404,Sales,17,143453,4,14345.300000000001
1407,IT,1,149235,4,14923.5
1409,Sales,17,136660,5,13666.0
1427,IT,27,148865,4,14886.5
1440,IT,26,146243,5,14624.300000000001
1443,Finance,19,108757,4,10875.7
1467,HR,13,132337,4,13233.7
1468,Finance,18,136732,4,13673.2
1477,Marketing,17,136937,4,13693.7
1478,IT,12,106908,4,10690.800000000001
1479,Sales,19,104532,5,10453.2
