invoiceNo,CustomerID,StockCode,Quantity,UnitPrice,invoiceDate
10000,1001,S005,3,47.35,2025-06-25
10001,1001,S008,1,62.11,2025-11-15
10002,1001,S003,2,10.36,2025-09-13
10003,1001,S002,4,99.26,2026-02-02
10004,1001,S010,2,5.67,2025-09-22
10005,1002,S010,4,32.75,2025-03-16
10006,1002,S003,4,53.85,2025-10-14
10007,1002,S005,3,69.63,2025-05-27
10008,1002,S002,4,94.51,2025-07-02
10009,1002,S002,2,33.94,2025-01-30
10010,1003,S007,4,52.04,2025-08-01
10011,1003,S001,4,22.31,2025-06-05
10012,1003,S006,2,56.94,2025-05-03
10013,1003,S002,2,47.73,2025-11-08
10014,1003,S004,2,74.09,2025-11-19
10015,1003,S008,2,23.62,2026-01-27
10016,1004,S002,3,83.73,2025-08-03
10017,1004,S009,1,81.21,2025-08-12
10018,1004,S009,3,45.22,2025-03-13
10019,1004,S008,4,6.34,2025-05-16
10020,1004,S008,3,80.07,2025-03-29
10021,1004,S010,3,66.85,2025-09-25
10022,1004,S007,1,64.21,2025-02-04
10023,1005,S008,1,74.31,2025-04-03
10024,1005,S003,1,41.38,2025-09-02
10025,1005,S001,1,58.32,2025-06-11
10026,1005,S007,3,54.66,2025-10-13
10027,1005,S010,2,46.74,2025-02-15
10028,1005,S007,1,34.86,2025-07-29
10029,1005,S004,2,18.24,2025-05-07
10030,1005,S004,1,12.31,2025-09-19
10031,1005,S003,2,88.64,2025-08-06
10032,1006,S004,2,88.91,2025-06-26
10033,1006,S010,3,90.13,2025-06-20
10034,1006,S001,1,26.65,2025-10-01
10035,1006,S004,1,86.77,2025-06-13
10036,1006,S008,3,44.65,2025-08-29
10037,1006,S001,3,30.59,2025-07-27
10038,1006,S006,4,54.29,2025-07-14
10039,1006,S004,1,11.16,2025-10-03
10040,1007,S002,3,33.58,2025-12-11
10041,1007,S008,1,30.34,2025-06-12
10042,1007,S002,4,9.89,2025-02-21
10043,1007,S001,1,27.76,2025-10-01
10044,1007,S005,4,47.54,2025-06-29
10045,1007,S007,4,12.68,2025-09-05
10046,1008,S008,1,65.07,2026-01-04
10047,1008,S006,3,82.56,2025-09-30
10048,1008,S001,1,35.47,2025-08-07
10049,1008,S004,4,69.37,2025-11-30
10050,1008,S004,4,14.14,2025-08-10
10051,1008,S007,2,84.58,2025-07-22
10052,1008,S009,1,24.86,2025-12-08
10053,1008,S003,3,67.7,2026-01-08
10054,1008,S009,4,55.32,2025-07-06
10055,1009,S005,1,88.85,2025-06-20
10056,1009,S009,3,71.53,2025-02-09
10057,1009,S003,4,89.27,2025-08-27
10058,1009,S001,4,85.84,2025-05-31
10059,1009,S008,4,90.36,2025-05-24
10060,1009,S003,4,14.64,2025-10-12
10061,1009,S009,1,31.97,2025-05-10
10062,1009,S006,3,66.94,2025-08-13
10063,1010,S001,2,35.91,2025-03-12
10064,1010,S003,1,34.27,2025-05-18
10065,1010,S003,2,30.19,2025-06-28
10066,1011,S006,4,64.96,2025-07-26
10067,1011,S005,2,66.28,2026-01-17
10068,1011,S004,3,78.01,2025-10-30
10069,1011,S005,2,40.17,2025-06-22
10070,1011,S005,4,36.42,2026-01-24
10071,1011,S003,4,86.04,2025-12-03
10072,1011,S005,4,85.86,2025-12-13
10073,1011,S003,4,40.41,2026-02-16
10074,1012,S008,2,63.43,2025-08-14
10075,1012,S002,3,54.24,2025-07-22
10076,1012,S008,1,17.98,2025-11-21
