EmpID,Department,Experience,Salary,Performance
1001,Marketing,30,102303,3
1002,Sales,20,57139,2
1003,Finance,16,107149,4
1004,Sales,25,86138,5
1005,Sales,22,148205,1
1006,HR,13,106125,5
1007,Finance,27,43918,2
1008,Finance,19,115655,5
1009,Finance,17,57446,1
1010,Sales,4,43046,2
1011,Marketing,12,54818,5
1012,Finance,29,130894,4
1013,Sales,9,145751,2
1014,HR,19,34324,2
1015,Marketing,12,106323,4
1016,HR,9,39111,3
1017,Marketing,7,68110,1
1018,Sales,28,46389,3
1019,IT,14,71427,5
1020,Marketing,20,109579,4
1021,HR,19,58746,3
1022,Sales,26,117886,2
1023,Marketing,15,137141,5
1024,IT,16,30117,5
1025,IT,21,142221,3
1026,Finance,5,114471,3
1027,Finance,3,142613,4
1028,HR,12,43234,1
1029,Marketing,25,133864,3
1030,Marketing,20,83441,3
1031,Finance,27,30846,2
1032,Marketing,21,40954,5
1033,Marketing,4,109239,1
1034,IT,21,143689,2
1035,Finance,23,76514,4
1036,Sales,16,118236,4
1037,Finance,25,127579,3
1038,Sales,7,36469,3
1039,IT,13,60105,4
1040,HR,21,72101,3
1041,Marketing,10,94323,1
1042,IT,26,121922,3
1043,Marketing,7,88067,5
1044,HR,14,79376,3
1045,HR,26,75587,2
1046,IT,5,66976,1
1047,HR,3,134587,2
1048,Sales,23,97584,2
1049,HR,29,134537,5
1050,Marketing,11,108477,1
1051,Marketing,11,140911,1
1052,Marketing,18,72533,1
1053,Marketing,15,31828,1
1054,Sales,12,31917,1
1055,Finance,9,50618,5
1056,IT,10,62254,3
1057,Marketing,26,135292,2
1058,HR,12,146714,1
1059,Marketing,17,77362,3
1060,HR,29,50128,3
1061,HR,6,141281,2
1062,Marketing,7,89383,5
1063,Sales,14,95545,4
1064,HR,13,112180,4
1065,HR,8,117958,3
1066,Marketing,10,39865,2
1067,HR,9,32219,4
1068,HR,18,69809,3
1069,Marketing,27,146748,5
1070,Marketing,26,35287,4
1071,IT,2,64387,3
1072,Sales,5,38512,3
1073,Sales,29,31342,1
1074,HR,5,93076,5
1075,Sales,6,138872,1
1076,HR,19,49216,2
1077,IT,8,147512,1
1078,Marketing,16,146682,1
1079,Marketing,13,123070,4
1080,Marketing,1,109767,3
1081,Sales,22,127829,5
1082,IT,20,56614,1
1083,Sales,17,66258,5
1084,Sales,7,123789,1
1085,IT,25,72078,2
1086,IT,13,136288,1
1087,IT,4,113524,4
1088,IT,4,126573,3
1089,Marketing,6,42219,2
1090,Finance,28,30235,1
1091,Finance,19,72929,5
1092,IT,29,97444,2
1093,Finance,12,38567,2
1094,Finance,22,131834,1
1095,IT,7,100792,2
1096,Finance,27,95441,5
1097,Sales,10,114555,2
1098,HR,26,103698,5
1099,HR,19,147248,1
1100,IT,7,35415,3
1101,Marketing,30,66159,2
1102,IT,3,73925,3
1103,Marketing,13,35951,5
1104,HR,13,117388,2
1105,IT,18,38007,4
1106,Sales,28,71832,3
1107,Finance,30,88596,2
1108,Marketing,26,60523,3
1109,Finance,20,118861,2
1110,Finance,28,116740,1
1111,IT,8,45524,3
1112,Finance,29,49282,4
1113,Sales,9,53930,4
1114,Finance,7,30077,5
1115,IT,1,135881,2
1116,Sales,3,50611,3
1117,HR,13,46984,5
1118,Finance,28,44060,3
1119,IT,30,112985,2
1120,HR,25,114056,4
1121,HR,28,73303,1
1122,Marketing,17,89207,4
1123,Sales,25,105046,5
1124,Finance,24,59287,1
1125,IT,1,123709,5
1126,Marketing,6,69711,2
1127,Sales,21,41954,1
1128,Marketing,6,103340,5
1129,Sales,26,102101,2
1130,Sales,12,101520,4
1131,Finance,13,117062,2
1132,Sales,13,132974,3
1133,Marketing,29,48574,2
1134,Sales,15,39184,2
1135,Finance,21,49096,3
1136,Finance,16,97728,5
1137,Marketing,22,64016,5
1138,HR,21,41246,2
