CustomerID,Gender,SeniorCitizen,Tenure,ContractType,InternetService,PaymentMethod,MonthlyCharges,StreamingTV,OnlineSecurity,TotalCharges,Churn
CUST0001,Male,0,48,Two year,DSL,Mailed check,96.75,Yes,Yes,4644.0,No
CUST0002,Female,0,66,One year,Fiber optic,Bank transfer,50.75,Yes,Yes,3349.5,Yes
CUST0003,Male,0,70,Month-to-month,No,Credit card,69.21,Yes,Yes,4844.7,No
CUST0004,Male,1,28,Month-to-month,Fiber optic,Bank transfer,99.65,Yes,No,2790.2,Yes
CUST0005,Male,0,26,One year,DSL,Bank transfer,43.25,No,Yes,1124.5,Yes
CUST0006,Female,0,25,Month-to-month,DSL,Credit card,42.6,Yes,No,1065.0,No
CUST0007,Male,1,12,Two year,Fiber optic,Bank transfer,75.11,No,No,901.32,No
CUST0008,Male,1,5,Two year,Fiber optic,Electronic check,72.36,No,Yes,361.8,No
CUST0009,Male,1,48,Month-to-month,DSL,Mailed check,48.23,No,Yes,2315.04,No
CUST0010,Female,0,37,Two year,Fiber optic,Bank transfer,49.81,No,No,1842.97,No
CUST0011,Male,0,44,Month-to-month,DSL,Credit card,47.78,Yes,No,2102.32,No
CUST0012,Male,0,15,One year,Fiber optic,Mailed check,97.15,No,Yes,1457.25,No
CUST0013,Male,1,43,Month-to-month,Fiber optic,Credit card,85.19,No,Yes,3663.17,No
CUST0014,Male,1,48,One year,Fiber optic,Mailed check,103.24,No,Yes,4955.52,No
CUST0015,Female,0,70,Two year,DSL,Mailed check,117.55,No,Yes,8228.5,No
CUST0016,Male,0,46,One year,Fiber optic,Bank transfer,67.42,Yes,Yes,3101.32,No
CUST0017,Female,0,43,Two year,DSL,Electronic check,26.67,Yes,No,1146.81,No
CUST0018,Female,1,21,Month-to-month,DSL,Bank transfer,24.81,No,Yes,521.01,No
CUST0019,Female,1,23,Two year,Fiber optic,Credit card,49.57,No,Yes,1140.11,Yes
CUST0020,Male,0,47,Month-to-month,Fiber optic,Credit card,113.25,No,No,5322.75,Yes
CUST0021,Female,0,15,Month-to-month,DSL,Mailed check,72.32,Yes,Yes,1084.8,No
CUST0022,Male,0,25,One year,DSL,Mailed check,47.18,Yes,Yes,1179.5,No
CUST0023,Female,1,36,One year,No,Electronic check,59.92,Yes,No,2157.12,Yes
CUST0024,Female,1,51,One year,DSL,Bank transfer,79.86,Yes,Yes,4072.86,No
CUST0025,Female,1,15,One year,No,Credit card,85.29,Yes,No,1279.35,No
CUST0026,Female,0,68,Two year,No,Mailed check,35.39,No,Yes,2406.52,No
CUST0027,Female,0,21,Two year,No,Electronic check,117.7,Yes,Yes,2471.7,No
CUST0028,Female,0,13,Two year,Fiber optic,Credit card,74.48,Yes,Yes,968.24,No
CUST0029,Female,0,19,Month-to-month,Fiber optic,Mailed check,33.57,No,No,637.83,Yes
CUST0030,Female,1,34,Two year,DSL,Credit card,109.36,Yes,No,3718.24,Yes
CUST0031,Male,1,68,Two year,No,Electronic check,27.46,Yes,No,1867.28,No
CUST0032,Male,1,52,Two year,Fiber optic,Electronic check,110.77,Yes,No,5760.04,Yes
CUST0033,Female,1,27,One year,Fiber optic,Credit card,119.66,No,Yes,3230.82,No
CUST0034,Female,0,29,Two year,Fiber optic,Bank transfer,90.04,Yes,No,2611.16,No
CUST0035,Female,0,28,Month-to-month,Fiber optic,Credit card,97.04,No,No,2717.12,Yes
CUST0036,Male,1,35,One year,Fiber optic,Mailed check,53.73,No,No,1880.55,Yes
CUST0037,Female,1,8,Month-to-month,No,Bank transfer,114.16,Yes,Yes,913.28,Yes
CUST0038,Male,0,16,Two year,No,Mailed check,72.97,Yes,Yes,1167.52,No
CUST0039,Male,0,36,One year,No,Credit card,93.24,Yes,No,3356.64,No
CUST0040,Male,0,30,Month-to-month,No,Bank transfer,112.41,Yes,No,3372.3,Yes
CUST0041,Male,1,18,Two year,DSL,Mailed check,117.52,No,Yes,2115.36,No
CUST0042,Male,0,2,Month-to-month,No,Credit card,103.32,Yes,No,206.64,Yes
CUST0043,Female,0,49,Month-to-month,Fiber optic,Credit card,50.3,No,No,2464.7,No
